S. No,State/UT,District,Coordinates,A.Murder (Sec.302 IPC),A. Culpable Homicide not amounting to Murder (Sec.304 IPC),A. Causing Death by Negligence,A. Hurt,A. Assault on Women with Intent to Outrage her Modesty,A. Kidnapping and Abduction,B. Offences against State,C. Rioting (Sec.1470151 IPC),D. Theft (Section 379 IPC),D. Burglary (Sec.454 to 460 r/w Sec.380 IPC),D. Dacoity,D. Others,E. Counterfeiting,"E. Forgery, Cheating & Fraud",E. Offences Relating to Documents & Property Marks (Total),F. Offences relating to Elections (Sec.171-E to 171-I r/w IPC/SLL),F. Disobedience to order duly promulgated by Public Servant (Sec.188),F. Harbouring an Offender (Sec.212/216/216A IPC),F. Offences relating to Adulteration or Sale of Food/Drugs (Sec.272/273/274/275/276 IPC),F. Rash Driving on Public way,F. Others,F. Miscellaneous,Other IPC Crimes,Total Cognizable IPC crimes
498,Meghalaya,Garo Hills South,"25.3333° N, 90.2500° E",2,0,7,3,5,22,0,0,30,3,2,26,2,8,5,0,0,0,0,2,2,3,3,47
499,Meghalaya,Garo Hills South West,"25.0833° N, 90.2500° E",2,0,31,24,4,34,0,0,54,1,6,41,0,4,2,0,0,0,0,0,11,11,2,78
500,Meghalaya,Garo Hills West,"25.6667° N, 90.2500° E",15,0,81,69,40,251,3,21,170,36,17,134,0,130,51,3,4,0,0,54,54,88,9,430
501,Meghalaya,Jaintia Hills West,"25.5000° N, 92.1667° E",13,0,31,69,8,95,0,0,84,2,2,52,0,20,10,0,1,0,0,8,37,42,5,175
502,Meghalaya,Jaintia Hills East,"25.5000° N, 92.5000° E",9,0,30,18,10,161,0,0,76,15,10,64,6,32,19,0,0,0,0,14,4,11,0,162
503,Meghalaya,Khasi Hills East,"25.5000° N, 91.8333° E",15,4,97,236,96,383,3,3,782,136,44,544,0,407,203,0,14,0,0,64,134,180,33,1198
504,Meghalaya,Khasi Hills South West,"25.1667° N, 91.8333° E",3,1,3,21,4,21,0,0,30,12,4,25,0,0,0,0,0,0,0,0,8,8,1,52
505,Meghalaya,Khasi Hills West,"25.5000° N, 91.5000° E",5,2,42,12,10,58,0,0,44,13,7,38,2,12,7,0,0,0,0,4,4,6,22,118
506,Meghalaya,Ri-Bhoi,"25.6667° N, 91.5000° E",9,2,77,61,23,111,0,0,140,21,15,93,0,51,23,0,0,0,0,30,51,66,9,276
507,Meghalaya,Cyber Cell,"25.6667° N, 91.8333° E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,Mizoram,Aizawl,"23.7278° N, 92.7140° E",10,4,76,190,50,168,0,2,1726,787,18,1351,2,312,157,0,36,0,0,26,98,147,21,1797
509,Mizoram,Champhai,"23.9667° N, 93.2000° E",5,0,6,3,0,12,0,0,16,28,0,22,0,11,5,0,7,0,0,0,4,11,2,50
510,Mizoram,Kolasib,"24.2833° N, 93.2833° E",1,0,27,30,4,33,0,0,96,46,4,78,2,2,2,0,2,0,0,4,17,21,3,131
511,Mizoram,Lawngtlai,"24.1167° N, 92.9167° E",0,2,2,12,4,14,0,0,30,20,0,29,0,0,0,0,0,0,0,4,3,5,1,45
512,Mizoram,Lunglei,"23.9167° N, 92.9167° E",5,1,1,21,2,25,0,0,76,88,0,84,0,12,6,0,2,0,0,2,3,6,9,123
513,Mizoram,Mamit,"23.6667° N, 92.7500° E",2,0,11,24,9,26,0,0,80,59,2,72,0,8,4,0,0,0,0,2,17,18,2,118
514,Mizoram,Saiha,"23.5833° N, 92.8333° E",1,0,4,21,4,12,0,2,44,33,0,41,0,4,2,0,0,0,0,2,6,7,2,64
515,Mizoram,Serchhip,"23.9167° N, 92.7500° E",0,1,24,12,3,14,0,0,70,12,0,45,0,2,1,0,0,0,0,2,22,23,4,85
516,Mizoram,Spl Narcotic,"23.7278° N, 92.7140° E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517,Mizoram,Saitual,"23.9833° N, 92.9500° E",0,1,0,18,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8
518,Mizoram,Khawzawl,"23.8333° N, 92.8333° E",0,0,12,3,0,9,0,0,10,12,1,12,0,0,0,0,3,0,0,2,1,5,0,24
519,Mizoram,Hnahthial,"23.8333° N, 92.7500° E",0,0,1,9,0,4,0,0,14,18,0,16,0,2,1,0,0,0,0,0,1,1,0,22
520,Mizoram,Cyber,"18.9500° N, 72.8333° E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,Nagaland,Dimapur,25°54′N 93°44′E,11,0,74,36,5,181,0,3,574,149,13,452,0,69,30,0,0,0,0,14,16,23,6,592
522,Nagaland,Kiphire,25°40′N 94°30′E,0,0,0,0,0,0,0,0,12,0,0,6,0,0,0,0,0,0,0,0,2,2,0,8
523,Nagaland,Kohima,25°40′N 94°05′E,1,1,5,15,4,32,0,0,68,33,2,68,0,18,9,0,1,0,0,4,8,11,2,105
524,Nagaland,Longleng,26°20′N 94°45′E,0,1,2,0,2,3,0,0,30,3,0,18,0,0,0,0,0,0,0,2,2,3,1,25
525,Nagaland,Mokokchung,26°30′N 94°30′E,2,0,8,9,4,14,0,0,32,7,0,24,0,7,3,0,0,0,0,4,1,3,3,44
526,Nagaland,Mon,26°15′N 95°05′E,6,0,11,3,2,21,27,3,72,47,1,66,0,6,3,0,1,0,0,0,7,8,3,106
527,Nagaland,Peren,25°50′N 93°50′E,1,0,1,0,0,6,0,0,6,3,0,6,0,0,0,0,0,0,0,0,0,0,4,13
528,Nagaland,Phek,25°40′N 94°10′E,2,0,7,0,0,13,0,0,12,12,0,24,0,2,1,0,0,0,0,0,0,0,5,36
529,Nagaland,Tuensang,26°30′N 94°50′E,0,0,6,3,6,10,0,0,14,32,0,25,0,0,0,0,0,0,0,2,0,1,2,38
530,Nagaland,Wokha,26°00′N 94°20′E,3,0,1,9,0,7,0,0,22,2,0,13,0,2,1,0,0,0,0,0,0,0,9,30
531,Nagaland,Zunheboto,26°00′N 94°30′E,1,0,4,0,0,16,0,0,14,25,4,26,0,0,0,0,0,0,0,2,1,2,0,36
532,Odisha,Angul,"20.25° N, 85.13° E",49,6,926,4899,1075,3535,0,254,978,390,154,1084,0,432,216,0,0,0,0,526,3411,3674,0,7928
533,Odisha,Balasore,"21.17° N, 86.60° E",76,1,805,390,1067,2660,0,94,1642,486,177,1287,0,300,150,0,0,0,0,416,1520,1728,266,4986
534,Odisha,Baragarh,"21.20° N, 83.17° E",38,0,569,708,766,1540,0,345,532,314,111,536,2,130,66,0,0,0,0,204,1329,1431,0,3228
535,Odisha,Berhampur,"19.45° N, 84.37° E",32,0,469,0,876,1219,0,96,566,196,49,567,0,190,95,0,0,0,0,242,873,994,0,2457
536,Odisha,Bhadrak,"20.53° N, 87.20° E",40,0,465,6717,955,4113,0,85,818,336,92,679,2,292,147,0,0,0,0,268,288,422,0,4521
537,Odisha,Bolangir,"19.00° N, 81.67° E",51,0,670,240,1017,1802,0,362,1010,376,173,882,0,794,397,0,0,0,0,316,1762,1920,0,4558
538,Odisha,Boudh,"19.68° N, 82.83° E",23,0,271,0,206,394,0,24,106,46,16,101,0,24,12,0,0,0,0,146,461,534,0,928
539,Odisha,Cuttack,"19.70° N, 85.33° E",42,0,723,5217,672,3228,0,222,444,416,126,587,0,252,126,0,0,0,0,386,301,494,0,3933
540,Odisha,DCP BBSR,"20.2593° N, 85.1322° E",47,0,762,7755,720,4710,0,245,4116,1043,619,3526,10,1758,884,0,0,0,0,824,349,761,0,8844
541,Odisha,DCP CTC,"20.3310° N, 85.2026° E",26,0,465,6573,610,3455,0,60,1202,403,146,1010,0,754,377,0,0,0,0,518,400,659,0,4977
542,Odisha,Deogarh,"20.87° N, 83.27° E",15,1,187,810,250,622,0,25,126,49,24,124,0,78,39,0,1,0,0,131,327,394,82,1188
543,Odisha,Dhenkanal,"20.25° N, 85.03° E",36,0,773,1502,1161,2431,0,252,480,260,80,558,0,216,108,0,0,0,0,502,972,1223,222,4051
544,Odisha,Gajapati,"19.50° N, 84.37° E",11,0,214,0,272,469,0,65,96,72,4,105,0,84,42,0,0,0,0,136,173,241,0,715
545,Odisha,Ganjam,"19.33° N, 84.37° E",79,0,1240,0,2901,3418,0,329,884,317,78,766,2,374,188,0,0,0,0,586,4164,4457,0,8093
546,Odisha,Jagatsinghpur,"20.17° N, 86.00° E",40,0,475,0,1686,1866,0,218,470,362,79,541,0,314,157,0,0,0,0,304,1295,1447,0,3512
547,Odisha,Jajpur,"20.33° N, 85.67° E",81,0,997,1692,1991,3910,0,192,1096,469,86,872,2,342,172,0,0,0,0,524,2157,2419,0,6148
548,Odisha,Jharsuguda,"22.17° N, 83.67° E",19,0,438,519,254,826,0,122,456,225,52,439,2,192,97,0,0,0,0,248,801,925,0,2087
549,Odisha,Kalahandi,"18.83° N, 82.27° E",40,0,643,0,893,1776,0,687,400,255,90,470,0,432,216,0,0,0,0,374,1367,1554,0,3543
550,Odisha,Kandhamal,"19.45° N, 83.00° E",17,0,380,0,429,828,0,225,264,175,59,284,0,116,58,0,0,0,0,280,366,506,100,1552
551,Odisha,Kendrapara,"20.00° N, 86.33° E",42,0,563,672,2327,2791,0,497,376,547,94,574,0,270,135,0,0,0,0,294,1448,1595,294,4804
552,Odisha,Keonjhar,"21.67° N, 85.53° E",75,0,930,0,1164,2170,0,186,740,366,98,796,0,188,94,0,0,0,0,870,1198,1633,0,3868
553,Odisha,Khurda,"19.58° N, 85.17° E",35,0,372,711,919,1297,0,69,728,245,92,604,0,108,54,0,0,0,0,240,874,994,58,2712
554,Odisha,Koraput,"18.67° N, 83.33° E",44,1,672,6,845,1570,12,276,410,341,85,453,6,186,96,0,2,0,1,324,782,947,1,2575
555,Odisha,Malkangiri,"18.27° N, 82.77° E",30,0,268,0,415,965,0,87,144,122,22,193,2,236,119,0,0,0,0,104,633,685,0,1541
556,Odisha,Mayurbhanj,"21.25° N, 85.37° E",96,0,811,1905,1340,3725,0,273,1352,662,111,1152,4,442,223,0,0,0,0,686,1717,2060,0,5874
557,Odisha,Nayagarh,"19.67° N, 85.27° E",46,0,287,2472,532,1643,0,69,342,202,61,336,0,126,63,0,0,0,0,266,98,231,0,2010
558,Odisha,Nabarangpur,"19.25° N, 82.77° E",29,0,373,138,578,1204,0,219,268,120,42,288,0,241,106,0,0,0,0,260,698,828,72,2066
559,Odisha,Nuapada,"20.50° N, 82.67° E",10,0,317,0,342,714,0,176,224,169,21,249,0,92,46,0,0,0,0,162,760,841,2,1603
560,Odisha,Puri,"19.67° N, 85.87° E",57,0,897,4872,2711,4712,0,148,1218,756,225,1374,0,342,171,0,0,0,0,556,701,979,10,6461
561,Odisha,Rayagada,"18.75° N, 83.00° E",32,1,410,714,242,1041,12,256,236,146,21,230,0,163,60,0,2,0,0,360,221,403,67,1557
562,Odisha,Rourkela,"22.25° N, 84.83° E",34,0,612,1038,505,1511,0,108,990,419,176,916,0,234,117,0,0,0,0,416,739,947,0,3060
563,Odisha,Sambalpur,"21.47° N, 83.97° E",37,0,768,2007,871,2009,0,346,1132,522,250,1124,4,486,245,0,0,0,0,502,1547,1798,0,4914
564,Odisha,Sonepur,"20.75° N, 83.42° E",21,0,236,3,265,445,0,132,304,145,57,297,0,70,35,0,0,0,0,212,570,676,0,1355
565,Odisha,SRP(Cuttack),"20.4406° N, 85.8870° E",2,0,3,45,8,23,0,2,940,8,14,490,0,14,7,0,0,0,0,4,6,8,4,532
566,Odisha,SRP(Rourkela),"22.2371° N, 84.8359° E",2,0,3,0,9,27,0,3,384,23,16,218,0,4,2,0,0,0,0,2,12,13,16,265
567,Odisha,Sundargarh,"22.83° N, 84.40° E",39,2,694,831,338,1212,0,149,542,350,133,594,0,121,51,0,8,0,0,306,552,713,84,2396
568,Odisha,CID CB,"20.4403° N, 85.8867° E",1,0,0,0,14,7,0,0,32,0,0,16,0,170,85,0,0,0,0,0,0,0,6,114
569,Punjab,Amritsar Rural,"31.25° N, 74.90° E",55,9,378,742,52,877,0,5,386,253,9,552,0,186,93,0,403,2,0,64,122,560,82,1837
570,Punjab,Barnala,"30.40° N, 75.53° E",16,2,184,567,33,574,0,3,524,160,11,427,0,70,35,0,48,0,0,103,58,159,21,1020
571,Punjab,Batala,"31.73° N, 75.35° E",27,6,284,684,52,599,0,0,248,193,6,351,2,159,79,0,54,0,0,36,90,162,24,1043
572,Punjab,Bathinda,"30.22° N, 74.95° E",42,18,442,970,79,923,0,9,592,340,17,644,0,178,89,0,51,0,0,185,164,309,112,1831
573,Punjab,CP Amritsar,"31.63° N, 74.87° E",32,2,232,630,80,751,0,3,2702,451,21,2094,0,471,213,0,194,0,0,72,202,432,325,3349
574,Punjab,CP Jalandhar,"31.32° N, 75.57° E",20,11,298,519,96,697,0,9,734,351,8,848,2,443,204,0,182,0,0,91,193,421,107,1932
575,Punjab,CP Ludhiana,"30.90° N, 75.85° E",46,12,807,1416,106,1452,0,9,3040,592,18,2560,0,584,259,0,849,1,0,304,269,1312,824,5706
576,Punjab,Faridkot,"30.68° N, 74.72° E",15,6,140,378,56,332,0,0,280,166,9,318,0,112,56,0,52,0,0,64,82,166,39,809
577,Punjab,Fatehgarh Sahib,"30.73° N, 76.37° E",16,3,385,472,42,530,0,0,306,158,4,292,0,309,103,0,201,1,0,161,39,329,144,1251
578,Punjab,Fazilka,"30.42° N, 74.23° E",27,7,274,858,62,812,0,0,238,186,7,390,0,154,77,2,34,0,0,50,145,206,106,1314
579,Punjab,Ferozepur,"30.92° N, 74.60° E",35,8,377,840,40,745,0,0,320,160,16,430,0,152,76,0,47,0,0,1,131,179,49,1261
580,Punjab,GRP,"31.05° N, 76.85° E",12,1,45,45,9,58,0,0,344,0,6,191,0,6,2,0,1,0,0,10,1,7,59,308
581,Punjab,Gurdaspur,"31.97° N, 75.42° E",13,8,244,302,21,359,0,4,146,120,6,228,0,258,129,0,49,1,0,32,75,141,18,758
582,Punjab,Hoshiarpur,"31.52° N, 75.95° E",24,9,574,687,68,782,0,0,434,230,3,423,0,304,135,0,402,0,0,129,120,588,152,1873
583,Punjab,Jalandhar Rural,"31.22° N, 75.67° E",33,4,458,827,94,768,0,7,646,350,13,647,0,322,154,1,50,2,0,54,124,205,82,1666
584,Punjab,Kapurthala,"31.38° N, 75.38° E",28,8,297,729,74,605,0,0,492,221,14,463,4,217,86,0,255,0,0,75,72,365,140,1512
585,Punjab,Khanna,"30.70° N, 76.20° E",18,4,396,759,28,705,0,0,266,138,0,243,2,212,107,0,94,0,0,117,61,224,83,1154
586,Punjab,Ludhiana Rural,"30.88° N, 75.70° E",20,4,211,387,17,424,0,0,242,171,3,279,0,178,89,0,48,0,0,62,79,158,58,865
587,Punjab,Mansa,"29.97° N, 75.40° E",16,4,246,510,49,497,0,0,338,148,12,290,2,173,86,0,53,0,0,88,69,166,60,986
588,Punjab,Moga,"30.83° N, 75.17° E",25,3,233,305,7,337,0,7,142,119,8,261,6,81,38,0,14,0,0,40,40,75,79,676
589,Punjab,Muktsar,"30.47° N, 74.50° E",16,6,222,451,41,521,0,0,292,207,9,369,0,115,39,0,39,1,0,71,59,135,51,931
590,Punjab,Pathankot,"32.30° N, 75.63° E",7,3,213,190,20,301,0,0,142,63,0,142,0,285,95,1,152,0,0,54,50,230,48,727
591,Punjab,Patiala,"30.32° N, 76.40° E",43,14,1122,2031,114,1771,0,0,1168,558,17,1030,8,657,327,0,740,0,0,540,256,1284,214,4289
592,Punjab,Ropar,"30.98° N, 76.52° E",10,3,481,435,66,524,0,0,214,128,11,233,0,195,92,0,102,0,0,177,68,262,102,1087
593,Punjab,Sangrur,"30.20° N, 75.85° E",20,7,560,957,51,786,0,0,500,223,12,444,0,240,120,0,99,0,0,214,124,334,140,1680
594,Punjab,SAS Nagar,"30.70° N, 76.68° E",32,4,778,591,56,1303,0,0,1522,425,19,1078,6,537,182,0,527,0,0,384,132,851,623,3513
595,Punjab,SBS Nagar,"30.88° N, 76.73° E",17,2,260,314,42,338,0,0,180,128,6,177,0,300,100,0,145,0,0,87,97,296,56,903
596,Punjab,Tarn Taran,"31.43° N, 74.93° E",49,8,322,791,45,772,0,2,220,233,23,402,2,150,74,0,106,3,0,29,98,222,126,1373
597,Punjab,Bureau of Investigation,"30.90° N, 75.85° E",0,0,0,0,26,12,0,3,0,0,0,2,0,45,16,0,0,0,0,0,3,3,0,33
598,Punjab,Intelligence Wing,"30.90° N, 75.85° E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
599,Punjab,NRI Wing,"30.90° N, 75.85° E",0,0,0,0,0,4,0,0,4,0,0,14,0,234,117,0,0,0,0,0,109,109,13,249
600,Punjab,Special Task Force,"30.90° N, 75.85° E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,Punjab,Malerkotla,"30.52° N, 75.87° E",9,1,100,336,24,234,0,0,174,67,2,141,0,46,23,0,25,0,0,46,60,109,54,514
602,Rajasthan,Ajmer,"(26.31° N, 74.81° E)",55,6,1537,6923,1352,5438,0,71,2834,742,64,1980,2,3149,1535,0,5,0,0,1227,1217,1837,70,9704
603,Rajasthan,Alwar,"(28.00° N, 76.67° E)",84,0,998,7585,678,5720,0,0,3670,435,52,2162,2,1628,815,0,15,0,0,964,1535,2032,0,9629
604,Rajasthan,Banswara,"(24.12° N, 74.81° E)",42,1,706,2073,320,2443,0,239,564,290,54,501,2,232,117,0,0,0,0,552,257,533,213,3037
605,Rajasthan,Baran,"(26.00° N, 75.67° E)",37,1,467,3903,593,2883,0,74,956,228,21,633,0,737,257,0,0,0,0,516,477,735,64,3941
606,Rajasthan,Barmer,"(26.12° N, 71.44° E)",46,1,1137,1515,728,2359,0,43,1216,536,30,929,0,606,303,0,0,0,0,642,2097,2418,7,5479
607,Rajasthan,Bharatpur,"(27.12° N, 77.22° E)",99,6,1218,1725,297,3331,0,0,3170,271,90,1825,0,2295,1022,0,0,0,0,710,927,1287,5241,11492
608,Rajasthan,Bhilwara,"(25.67° N, 75.22° E)",42,1,1241,3582,944,3914,0,854,1758,722,121,1387,2,1640,821,0,0,0,0,934,1312,1779,0,7221
609,Rajasthan,Bikaner,"(28.00° N, 73.00° E)",47,2,877,579,503,1592,0,11,928,313,28,677,2,1012,507,0,0,0,0,394,506,703,1637,4644
610,Rajasthan,Bundi,"(25.00° N, 75.81° E)",25,5,594,2619,495,2166,0,270,694,267,13,501,4,714,246,0,0,0,0,674,302,639,451,3659
611,Rajasthan,Chittorgarh,"(25.22° N, 74.56° E)",30,3,765,2805,395,2599,0,159,1724,461,54,1155,2,684,343,0,0,0,0,516,521,779,626,4790
612,Rajasthan,Churu,"(28.00° N, 74.00° E)",44,0,575,1314,192,1650,0,6,770,246,16,531,4,738,371,0,0,0,0,384,479,671,1302,4069
613,Rajasthan,Dausa,"(27.33° N, 75.81° E)",41,0,847,387,130,1410,0,2191,1790,245,40,1059,4,1126,565,0,0,0,0,636,340,658,1573,5830
614,Rajasthan,Dholpur,"(26.67° N, 76.56° E)",48,4,540,3333,295,2328,0,3,1120,136,24,670,0,478,239,0,0,0,0,388,321,516,1078,4348
615,Rajasthan,Dungarpur,"(23.81° N, 73.56° E)",38,1,559,1452,244,1815,0,3,258,91,37,230,0,262,131,0,0,0,0,530,382,647,48,2262
616,Rajasthan,GRP Ajmer,"(26.31° N, 74.81° E)",2,1,11,141,21,90,0,0,1150,2,3,579,0,2,1,0,0,0,0,0,1,1,8,666
617,Rajasthan,GRP Jodhpur,"(26.12° N, 71.44° E)",0,0,9,21,2,19,0,0,282,0,1,142,0,0,0,0,0,0,0,4,0,2,3,162
618,Rajasthan,Ganganagar,"(29.81° N, 74.00° E)",67,2,717,3910,555,3169,0,3,1024,447,46,811,4,1775,841,0,0,0,0,340,826,996,591,5624
619,Rajasthan,Hanumangarh,"(28.67° N, 74.33° E)",61,1,511,2874,428,2271,0,6,658,395,16,560,2,1514,579,0,0,0,0,226,627,740,753,4402
620,Rajasthan,Jaipur East,"(26.94° N, 75.81° E)",32,2,553,2089,440,2083,0,693,4982,589,46,2888,6,2739,1088,0,9,0,0,1088,311,865,77,6718
621,Rajasthan,Jaipur North,"(27.00° N, 76.00° E)",14,2,148,837,205,1035,0,47,2248,229,50,1305,0,2028,676,0,0,0,0,290,300,445,605,3735
622,Rajasthan,Jaipur Rural,"(26.67° N, 75.33° E)",51,7,1393,1209,344,2039,0,524,2332,382,58,1423,2,1777,843,0,0,0,0,1208,424,1028,1831,6866
623,Rajasthan,Jaipur South,"(26.94° N, 75.12° E)",30,1,527,1077,294,1420,0,0,4618,481,20,2637,0,2280,1026,0,0,0,0,792,267,663,951,6236
624,Rajasthan,Jaipur West,"(26.94° N, 75.33° E)",42,1,670,1560,281,1988,0,36,3872,404,32,2270,6,2730,1368,0,0,0,0,998,396,895,804,6635
625,Rajasthan,Jaisalmer,"(26.94° N, 70.06° E)",14,0,285,1650,246,989,0,3,394,148,11,285,0,276,138,0,0,0,0,104,87,139,123,1563
626,Rajasthan,Jalore,"(25.67° N, 72.56° E)",38,1,488,3840,570,2434,0,0,722,506,25,654,6,466,236,0,0,0,0,310,219,374,2,3286
627,Rajasthan,Jhalawar,"(25.00° N, 75.33° E)",47,1,586,3330,526,2926,0,684,1210,242,24,804,4,425,196,0,34,0,0,540,547,851,18,4302
628,Rajasthan,Jhunjhunu,"(28.33° N, 75.00° E)",53,4,790,5394,269,3206,0,12,1214,360,38,826,0,1628,814,0,0,0,0,688,609,953,1406,6630
629,Rajasthan,Jodhpur East,"(26.12° N, 71.44° E)",20,0,308,1353,458,1221,0,3,1628,268,24,999,0,1398,521,0,0,0,0,358,188,367,476,3329
630,Rajasthan,Jodhpur West,"(26.12° N, 71.44° E)",24,3,514,1503,383,1434,0,7,2158,375,22,1319,4,860,432,0,0,0,0,380,220,410,296,3553
631,Rajasthan,Jodhpur Rural,"(26.12° N, 71.44° E)",38,1,937,2828,379,2232,0,8,1032,433,47,793,0,616,308,0,10,0,0,345,640,823,400,4220
632,Rajasthan,Karauli,"(25.33° N, 76.00° E)",52,2,370,150,331,1446,0,374,1316,153,41,784,2,746,374,0,0,0,0,250,320,445,2809,5424
633,Rajasthan,Kota City,"(25.67° N, 75.00° E)",27,3,483,2495,518,2460,0,17,2194,271,31,1316,6,1646,822,0,25,0,0,603,434,762,16,4717
634,Rajasthan,Kota Rural,"(25.33° N, 75.33° E)",29,0,422,792,476,1353,0,73,726,169,14,470,0,358,179,0,0,0,0,364,209,391,761,2795
635,Rajasthan,Nagaur,"(27.33° N, 73.33° E)",53,2,1287,4335,609,3539,0,12,1672,507,36,1151,10,1282,646,0,0,0,0,514,760,1017,990,6544
636,Rajasthan,Pali,"(26.67° N, 73.00° E)",43,2,1029,441,666,2161,0,0,1314,494,73,985,8,1332,670,0,0,0,0,354,676,853,2097,5983
637,Rajasthan,Pratapgarh,"(24.33° N, 74.81° E)",35,1,366,1500,460,2040,0,11,392,192,22,325,0,236,118,0,0,0,0,250,316,441,235,2453
638,Rajasthan,Rajsamand,"(24.67° N, 73.12° E)",28,4,706,2238,364,2080,0,357,870,364,58,696,4,574,289,0,3,0,0,595,479,780,12,3439
639,Rajasthan,Sawai Madhopur,"(27.33° N, 76.33° E)",39,3,465,579,496,1471,3,6,1258,165,27,757,4,772,388,0,0,0,0,322,291,452,1725,4297
640,Rajasthan,Sikar,"(27.67° N, 75.12° E)",53,0,1226,1404,422,2636,0,3,2362,360,34,1433,6,2342,1146,0,0,0,0,980,610,1100,3112,8498
641,Rajasthan,Sirohi,"(24.00° N, 73.33° E)",41,0,679,1440,353,1560,0,21,750,292,31,569,2,448,225,0,0,0,0,300,240,390,331,2699
642,Rajasthan,Tonk,"(25.67° N, 75.67° E)",26,5,796,3612,254,2450,0,146,1006,304,14,680,0,654,327,0,0,0,0,470,265,500,635,4159
643,Rajasthan,Udaipur,"24.5833° N, 73.6958° E",93,14,1572,5304,883,5378,0,637,2048,748,145,1604,6,1404,705,0,2,0,0,1488,714,1460,508,8284
644,Rajasthan,Jaipur Metro,"28.5355° N, 77.1945° E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645,Rajasthan,SCRB,"26.9216° N, 75.8020° E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
646,Rajasthan,SOG,"26.9220° N, 75.8025° E",0,0,0,0,0,0,0,0,0,1,0,1,2,58,30,0,0,0,0,0,0,0,0,31
647,Rajasthan,SSB,"26.9224° N, 75.8030° E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
648,Rajasthan,Jaipur Crime,"26.9228° N, 75.8035° E",0,0,0,0,0,0,0,0,0,0,0,0,0,45,15,0,0,0,0,0,0,0,0,15
649,Rajasthan,Bhiwadi,"28.2187° N, 76.9208° E",56,2,852,5315,389,3806,0,277,2862,359,70,1722,0,3080,1129,0,0,0,0,654,736,1063,155,7182
650,Sikkim,East,27.5278° N 88.6197° E,8,2,72,96,23,203,3,0,48,68,6,67,0,105,43,1,1,0,0,140,15,87,10,321
651,Sikkim,North,27.8678° N	88.5510° E,1,0,12,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,8,2,6,0,14
652,Sikkim,South,27.2035° N	88.3596° E,2,0,32,60,10,59,0,0,14,14,0,16,0,14,6,0,4,0,0,56,9,41,1,108
653,Sikkim,West,27.3766° N	88.0405° E,3,0,36,48,2,54,0,0,2,6,0,4,0,18,8,0,0,0,0,42,3,24,0,76
654,Sikkim,CID,"27.5341° N, 88.6034° E",0,0,0,0,2,1,0,0,0,0,0,0,0,22,11,0,0,0,0,0,1,1,0,13
655,Tamil Nadu,Ariyalur,"(11.66° N, 79.22° E)",18,1,540,1620,20,836,0,297,154,106,20,149,0,46,23,20,9,0,0,768,174,587,2556,4242
656,Tamil Nadu,Chennai,"(13.08° N, 80.27° E)",161,6,3553,8841,325,5067,0,2932,8108,1633,689,5696,12,1695,817,53,244,0,0,8118,549,4905,28417,46077
657,Tamil Nadu,Coimbatore,"(11.01° N, 76.94° E)",56,1,1840,1683,16,1295,0,224,416,475,69,558,4,128,65,17,0,0,0,2666,135,1485,5848,9332
658,Tamil Nadu,Coimbatore City,"(11.01° N, 76.94° E)",30,0,780,2826,20,1342,0,713,1108,412,98,892,6,393,179,0,0,0,0,1268,34,668,361,3738
659,Tamil Nadu,Cuddalore,"(11.77° N, 79.72° E)",46,0,1698,9738,47,4266,0,743,504,333,38,465,0,154,77,29,13,0,0,4937,1146,3723,7403,16045
660,Tamil Nadu,Dharmapuri,"(12.05° N, 78.14° E)",28,4,980,1854,36,1111,0,169,220,110,16,182,0,60,29,23,2,0,0,1864,34,991,3210,5523
661,Tamil Nadu,Dindigul,"(10.52° N, 77.84° E)",47,3,1597,5811,97,2662,0,1170,520,327,43,502,4,145,73,9,5,0,0,2476,263,1515,7755,12981
662,Tamil Nadu,Erode,"(11.37° N, 78.02° E)",44,2,1503,2346,24,1396,0,39,594,208,33,441,2,74,38,0,0,0,0,2733,124,1499,461,3818
663,Tamil Nadu,Kanchipuram,"(12.74° N, 79.72° E)",30,0,751,651,8,556,0,107,334,233,72,365,2,68,35,12,0,0,0,1354,6,695,1625,3300
664,Tamil Nadu,Kanyakumari,"(8.09° N, 77.50° E)",28,3,1008,3540,70,1769,0,2,842,396,47,685,14,212,113,15,17,0,0,1836,840,1790,22,4291
665,Tamil Nadu,Karur,"(11.42° N, 78.22° E)",22,0,1221,714,14,735,0,602,256,176,31,266,0,60,30,9,0,0,0,1436,304,1031,4505,6835
