S. No,State/UT,District,Coordinates,A.Murder (Sec.302 IPC),A. Culpable Homicide not amounting to Murder (Sec.304 IPC),A. Causing Death by Negligence,A. Hurt,A. Assault on Women with Intent to Outrage her Modesty,A. Kidnapping and Abduction,B. Offences against State,C. Rioting (Sec.1470151 IPC),D. Theft (Section 379 IPC),D. Burglary (Sec.454 to 460 r/w Sec.380 IPC),D. Dacoity,D. Others,E. Counterfeiting,"E. Forgery, Cheating & Fraud",E. Offences Relating to Documents & Property Marks (Total),F. Offences relating to Elections (Sec.171-E to 171-I r/w IPC/SLL),F. Disobedience to order duly promulgated by Public Servant (Sec.188),F. Harbouring an Offender (Sec.212/216/216A IPC),F. Offences relating to Adulteration or Sale of Food/Drugs (Sec.272/273/274/275/276 IPC),F. Rash Driving on Public way,F. Others,F. Miscellaneous,Other IPC Crimes,Total Cognizable IPC crimes
274,Jammu & Kashmir,Railways Jammu,"32.7285° N, 74.8687° E",0,0,0,6,0,2,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5
275,Jammu & Kashmir,Railways Kashmir,"34.0866° N, 74.7965° E",0,0,2,0,0,2,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,2,8
276,Jammu & Kashmir,Railways Katra,"32.9972° N, 75.0431° E",0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,4,1,3,1,7
277,Jammu & Kashmir,Rajouri,"33.3667° N, 74.3333° E",13,3,133,1314,128,877,24,189,132,144,0,148,0,60,30,0,261,0,0,626,395,969,37,1936
278,Jammu & Kashmir,Ramban,"33.1333° N, 75.0833° E",1,0,143,311,58,290,0,0,58,60,0,59,0,24,9,0,189,0,0,488,35,468,107,873
279,Jammu & Kashmir,Reasi,"33.0833° N, 74.8333° E",7,0,109,140,44,324,3,3,112,48,0,80,0,18,9,0,94,0,0,426,59,366,31,720
280,Jammu & Kashmir,Samba,"32.5500° N, 75.1167° E",2,0,298,109,22,369,3,84,212,152,0,186,2,51,26,0,215,0,0,572,94,595,18,1121
281,Jammu & Kashmir,Shopian,"33.7333° N, 74.7333° E",1,0,51,143,138,327,0,258,224,56,7,147,2,18,10,0,49,0,0,122,7,117,53,655
282,Jammu & Kashmir,Sopore,"34.3000° N, 74.4833° E",4,1,95,426,236,533,0,39,216,128,5,176,0,20,10,0,29,0,0,156,40,147,9,752
283,Jammu & Kashmir,Srinagar,"34.0907° N, 74.7961° E",23,2,224,1317,420,1178,0,129,756,438,40,638,0,110,55,0,668,0,0,594,101,1066,101,2833
